skills,interests,education,recommended_career
digital marketing;seo;content strategy,marketing;social media,master's,digital marketer
sql;data warehousing;etl,finance;data analytics,bachelor's,data analyst
graphic design;illustration;adobe illustrator,arts;design,bachelor's,graphic designer
python;nlp;deep learning,ai;language,master's,nlp engineer
research;statistical analysis;r,academia;biotech,bachelor's,research scientist
project management;agile;communication,business;management,master's,project manager
python;data visualization;r,data analysis;statistics,master's,data analyst
ux research;prototyping;interaction design,design;user experience,bachelor's,ux researcher
cloud computing;devops;python,technology;business,master's,devops engineer
business analysis;excel;sql,business;finance,master's,business analyst
cloud computing;python;devops,technology;business,bachelor's,cloud engineer
python;data analysis;sql,finance;analytics,master's,data analyst
java;system design;cloud computing,software development;ai,bachelor's,software engineer
python;deep learning;statistics,healthcare;ai,master's,ai researcher
project management;communication;agile,business;management,bachelor's,project manager
digital marketing;seo;content creation,marketing;communications,master's,digital marketer
python;data analysis;machine learning,technology;data science,master's,data scientist
java;system design;cloud computing,software development;ai,phd,software engineer
html;css;javascript,healthcare;ai,master's,ai researcher
c++;embedded systems;iot,business;management,phd,project manager
javascript;react;node.js,marketing;communications,master's,data analyst
digital marketing;seo;content creation,cybersecurity;technology,phd,digital marketer
project management;agile;communication,academia;research,bachelor's,nlp engineer
financial analysis;excel;econometrics,technology;data science,phd,research scientist
research;statistical analysis;python,software development;ai,bachelor's,front-end developer
java;algorithms;data structures,healthcare;ai,phd,data analyst
copywriting;seo;social media,finance;analytics,master's,digital marketer
network security;linux;python,marketing;communications,phd,data scientist
machine learning;big data;python,web development;design,phd,ux designer
graphic design;ui/ux;adobe creative suite,arts;digital media,phd,full stack developer
c++;embedded systems;iot,business;management,master's,cybersecurity analyst
sql;data warehousing;etl,finance;analytics,phd,research analyst
project management;agile;communication,academia;research,phd,deep learning engineer
java;algorithms;data structures,healthcare;ai,master's,graphic designer
ux research;prototyping;interaction design,business;management,phd,data engineer
network security;linux;python,marketing;communications,master's,data analyst
c#;.net;software design,cybersecurity;technology,phd,business analyst
data visualization;python;r,academia;research,bachelor's,automation engineer
python;data analysis;machine learning,technology;data science,phd,machine learning engineer
graphic design;ui/ux;adobe creative suite,arts;digital media,master's,financial analyst
html;css;javascript,healthcare;ai,phd,content strategist
javascript;react;node.js,marketing;communications,phd,cybersecurity specialist
digital marketing;seo;content creation,cybersecurity;technology,bachelor's,data analyst
python;deep learning;statistics,web development;design,phd,graphic designer
financial analysis;excel;econometrics,technology;data science,bachelor's,data scientist
research;statistical analysis;python,software development;ai,master's,software engineer
cloud computing;devops;python,arts;digital media,phd,ux designer
copywriting;seo;social media,finance;analytics,phd,embedded systems engineer
c#;.net;software design,cybersecurity;technology,master's,digital marketer
data visualization;python;r,academia;research,phd,nlp engineer
machine learning;big data;python,web development;design,bachelor's,financial analyst
chatbot development,artificial intelligence,computer science,machine learning researcher
data analytics,data science,computer science,data scientist
e-commerce website,software development,computer science,software engineer
full-stack web app,web development,computer science,web developer
network security,cybersecurity,computer science,information security analyst
image recognition,machine learning,computer science,machine learning engineer
sql query optimization,database management,computer science,database administrator
aws deployment,cloud computing,computer science,cloud solutions architect
android app,mobile app development,computer science,mobile app developer
3d rendering,computer graphics,computer science,graphics programmer
natural language processing,artificial intelligence,computer science,nlp research scientist
ios app,mobile app development,computer science,mobile app developer
game development,computer graphics,computer science,game developer
image recognition,machine learning,mechanical engineering,machine learning engineer
sql query optimization,database management,mechanical engineering,database administrator
aws deployment,cloud computing,mechanical engineering,cloud solutions architect
android app,mobile app development,mechanical engineering,mobile app developer
3d rendering,computer graphics,mechanical engineering,graphics programmer
natural language processing,artificial intelligence,mechanical engineering,nlp research scientist
full-stack web app,web development,mechanical engineering,web developer
ios app,mobile app development,mechanical engineering,mobile app developer
game development,computer graphics,mechanical engineering,game developer
e-commerce website,software engineering,mechanical engineering,software engineer
network security,cybersecurity,mechanical engineering,information security analyst
gcp deployment,cloud computing,mechanical engineering,cloud solutions architect
social media platform,software development,mechanical engineering,software engineer
e-commerce website,web development,electrical engineering,web developer
ios game,mobile app development,electrical engineering,mobile app developer
3d animation,computer graphics,electrical engineering,graphics programmer
natural language processing,artificial intelligence,electrical engineering,nlp research scientist
machine learning,data science,electrical engineering,data scientist
network security,cybersecurity,electrical engineering,information security analyst
sql query optimization,database management,electrical engineering,database administrator
aws deployment,cloud computing,electrical engineering,cloud solutions architect
social media platform,software development,electrical engineering,software engineer
android game,mobile app development,electrical engineering,mobile app developer
3d modeling,computer graphics,electrical engineering,graphics programmer
natural language processing,artificial intelligence,civil engineering,nlp research scientist
machine learning,data science,civil engineering,data scientist
network security,cybersecurity,civil engineering,information security analyst
sql query optimization,database management,civil engineering,database administrator
aws deployment,cloud computing,civil engineering,cloud solutions architect
social media platform,software development,civil engineering,software engineer
e-commerce website,web development,civil engineering,web developer
android game,mobile app development,civil engineering,mobile app developer
3d animation,computer graphics,civil engineering,graphics programmer
network security,cybersecurity,puc,information security analyst
sql query optimization,database management,puc,database administrator
android game,mobile app development,puc,mobile app developer
e-commerce website,web development,puc,web developer
social media platform,software development,puc,software engineer
3d animation,computer graphics,puc,graphics programmer
natural language processing,artificial intelligence,puc,nlp research scientist
machine learning,data science,puc,data scientist
firewall management,network security,puc,security analyst
deep learning models,machine learning,sslc,machine learning engineer
data warehouse design,database management,sslc,database administrator
embedded systems,software development,sslc,embedded software engineer
front-end development,web development,sslc,web developer
statistical analysis,data science,sslc,data analyst
robotics,artificial intelligence,sslc,robotics engineer
mobile game development,game development,sslc,game developer
penetration testing,cybersecurity,sslc,ethical hacker
object detection,computer vision,sslc,computer vision engineer
devops,software engineering,sslc,devops engineer
genomic data analysis,bioinformatics,sslc,bioinformatician
smart home automation,iot (internet of things),bsc,iot developer
chatbot development,natural language processing,bsc,nlp engineer
market analysis,data mining,bsc,data analyst
cloud migration specialist,cloud computing,bsc,cloud solutions architect
usability testing,human-computer interaction,bsc,ux designer
medical imaging analysis,biomedical computing,bsc,healthcare it specialist
quantum algorithm development,quantum computing,bsc,quantum computing researcher
virtual reality development,computer graphics,bsc,vr developer
smart contracts developer,blockchain technology,bsc,blockchain engineer
search engine optimization,information retrieval,bsc,seo specialist
privacy compliance officer,data privacy,bsc,data privacy specialist
gis mapping,geographic information systems,bsc,geospatial analyst
distributed systems architect,distributed systems,bsc,distributed systems engineer
computer forensic analyst,digital forensics,bsc,digital forensics specialist
protein structure prediction,bioinformatics,bsc,bioinformatician
user experience researcher,human-computer interaction,msc,ux designer
healthcare data analyst,biomedical computing,msc,healthcare it specialist
quantum algorithm development,quantum computing,msc,quantum computing researcher
neural network development,artificial intelligence,msc,ai researcher
big data analytics,data science,msc,data analyst
mobile app development,software development,msc,software engineer
e-commerce website,web development,msc,web developer
network security,cybersecurity,msc,information security analyst
image classification,machine learning,msc,machine learning engineer
sql database design,database management,msc,database administrator
cloud infrastructure management,cloud computing,msc,cloud solutions architect
ios app development,mobile app development,msc,mobile app developer
natural language processing,artificial intelligence,msc,nlp research scientist
full-stack web app,web development,mca,web developer
android app development,mobile app development,mca,mobile app developer
3d modeling,computer graphics,mca,graphics programmer
enterprise software development,software engineering,mca,software engineer
network security,cybersecurity,mca,information security analyst
sql query optimization,database management,mca,database administrator
aws deployment,cloud computing,mca,cloud solutions architect
computer vision,artificial intelligence,mca,ai researcher
machine learning,data science,mca,data scientist
web application development,software development,mca,software engineer
e-commerce website,web development,mca,web developer
security auditing,cybersecurity,mca,information security analyst
natural language processing,machine learning,mca,machine learning engineer
sql database administration,database management,mca,database administrator
cloud solution architecture,cloud computing,mca,cloud solutions architect
cross-platform app development,mobile app development,mca,mobile app developer
reinforcement learning,artificial intelligence,mca,ai researcher
data mining,data science,mca,data analyst
front-end development,web development,mca,web developer
mobile app development,software development,bcom,software engineer
e-commerce website,web development,bcom,web developer
network security,cybersecurity,bcom,information security analyst
image classification,machine learning,bcom,machine learning engineer
sql database design,database management,bcom,database administrator
cloud infrastructure management,cloud computing,bcom,cloud solutions architect
ios app development,mobile app development,bcom,mobile app developer
natural language processing,artificial intelligence,bcom,nlp research scientist
full-stack web app,web development,bcom,web developer
security auditing,cybersecurity,bcom,information security analyst
sql database administration,database management,bcom,database administrator
cloud solution architecture,cloud computing,bcom,cloud solutions architect
cross-platform app development,mobile app development,bcom,mobile app developer
reinforcement learning,artificial intelligence,bcom,ai researcher
data mining,data science,bcom,data analyst
front-end development,web development,bcom,web developer
computer vision,machine learning,mcom,machine learning engineer
neural network development,artificial intelligence,mcom,ai researcher
big data analytics,data science,mcom,data analyst
mobile app development,software development,mcom,software engineer
e-commerce website,web development,mcom,web developer
network security,cybersecurity,mcom,information security analyst
image classification,machine learning,mcom,machine learning engineer
sql database design,database management,mcom,database administrator
cloud infrastructure management,cloud computing,mcom,cloud solutions architect
ios app development,mobile app development,mcom,mobile app developer
natural language processing,artificial intelligence,mcom,nlp research scientist
full-stack web app,web development,mcom,web developer
security auditing,cybersecurity,mcom,information security analyst
sql database administration,database management,mcom,database administrator
cloud solution architecture,cloud computing,mcom,cloud solutions architect
python;sql;java,cloud computing,b.sc,software
"critical thinking, analytic thinking, sql, programming, work under pressure, logical skills, problem solving skills",technology,b.e,computer software engineer
people management;communication skills,understand human behaviour,ba,
accounting skills;critical thinking,sales/marketing;trading;understand human behaviour;home interior design,mba,relationships manager
plc allen bradley;plc ladder logic;labview;business analysis;end-to-end projectmanagement;crossfunctional team leadership;requirements gathering;lean six sigma;lean six sigma blackbelt;productivity improvement,technology,b.tech,plant instrumentation engineer
"c,c++,html,java",technology,b.tech,network analyst
"critical thinking, analytic thinking, communication skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, problem solving skills, observation skills, reading","research, sales/marketing",bms,student (unemployed)
no,technology,b.tech,software engineer trainee
programming language skills;critical thinking;linux;python;sql;java,technology,b.tech,senior software engineer
active listening;critical thinking;gathering information;artistic/creative skills;communication skills;leadership;editing;problem solving skills;writing skills;medical knowledge;hr;good communication skills;teaching,research;teaching;technology;understand human behaviour;understand human body;content writing;govt. job;service;infrastructure,b.sc,
"accounting skills, analytic thinking, cost accounting, team work, excel, problem solving skills, writing, tableau",financial analysis,b.com,tele-caller
"analytic thinking, gathering informing, communication skills, team work, presentation skills, problem solving skills","take risk for profits, technology, entrepreneurship",be,data engineer
accounting skills;business knowledge;leadership;problem solving skills;wealth management,"sales/marketing;trading;understand human behaviour;digital marketing;market reserach;agriculture, services;construction manegement",mba,
critical thinking;gathering information;presentation skills;python;sql;good communication skills,data analytics,be,
communication skills;writing skills;c++;python;sql;java;cloud computing,technology,bca,
analytical skills;data visualization skills( power bi/ tableau );machine learning skills;python;sql,research;technology;data analytics;govt. job,be,worked in research institute
programming language skills;critical thinking;gathering information;leadership;machine learning skills;python;artificial intelligence;sql;java;matlab;good communication skills,financial analysis;research;data analytics;data scientist,b.tech,
"python, critical thinking, analytic thinking, gathering informing, sql, programming, leadership, product knowledge, cost accounting, market study, team work, excel, logical skills, r, problem solving skills, writing, tableau",entrepreneurship,be,teacher
matlab ;embedded c; arduino; c ++;c ;avr;eagle pcb;arm cortex-m;kicad;software project management,technology,b.tech,embedded system engineer
"active listening;critical thinking;analytical skills;people management;communication skills;leadership;problem solving skills;designing skills;proeficiency in software like staad pro, etabs",research;teaching;technology;data analytics,be,assistant professor
hardware skills,teaching;technology;industires,m.tech,mine engineer
business knowledge;analytical skills;product knowledge;problem solving skills;risk management skills;designing skills;machine learning skills;python;sql;cloud computing;hr,financial analysis;research;sales/marketing;technology;data analytics,b.tech,
"proeficiency in software like staad pro, etabs;cad/cae(autocad/catia/ansys/proe/seimensnx)",technology;all fields related to data science.;industires;information technology,b.tech,mechanical design engineer
accounting skills;active listening;critical thinking;gathering information;business knowledge;analytical skills;finance related skills;people management;communication skills;negotiation skills;mass communication;leadership;product knowledge;problem solving skills;risk management skills;data visualization skills( power bi/ tableau );sales;interpersonal skills;wealth management,financial analysis;news coverage;research;sales/marketing;social justice;teaching;technology;trading;understand human behaviour;understand human body;supply chain analysis;data analytics;govt. job;game industry;digital marketing,b.com,finance manager
programming language skills;communication skills;writing skills;machine learning skills;sales;c++;r,technology;service,bca,
active listening;teaching,teaching,bca,teaching
business knowledge;civil & criminal law;product knowledge,market reserach,b.tech,national head
critical thinking;problem solving skills;designing skills;interpersonal skills;python,design,b.tech,field engineer
strategic planning;financial analysis;financial modeling;marketing strategy;financial services,financial analysis,bba,investment banking associate
"business knowledge, people management, communication skills, work under pressure, leadership, market study, team work, interpersonal skills, presentation skills, designing skills, sales, design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble","financial analysis, sales/marketing, technology, entrepreneurship",be,sales executive
"creativity skills, excel, logical skills, observation skills, risk managing, designing skills, vlsi design,simulation,embedded,iot",embedded design,be,vlsi digital design
"python, critical thinking, analytic thinking, java, sql, programming, communication skills, negotiation skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, c++",research,b.tech,production manager
no,technology,be,software developer
active listening;business knowledge;communication skills;negotiation skills;leadership;product knowledge;problem solving skills;sales;interpersonal skills,sales/marketing,b.com,life insurance
business knowledge,sales/marketing,b.com,
business knowledge;analytical skills;negotiation skills;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;sql,financial analysis;technology;trading;data analytics,b.tech,full stack developer
active listening;business knowledge;risk management skills;sales;good communication skills,trading,be,
accounting skills;programming language skills;critical thinking;business knowledge;analytical skills;finance related skills;communication skills;problem solving skills;c++;python;sql,financial analysis;technology;web designing;web development;social causes,b.tech,
"active listening, creativity skills, team work, logical skills",research,b.pharmacy,process analyst
"accounting skills, cost accounting",financial analysis,b.com,housewife
programming language skills;people management;mass communication;leadership;designing skills;writing skills;architecture,home interior design,b.sc,junior interior designer
"business knowledge, product knowledge, team work, sales",take risk for profits,b.com,tele-caller
"gathering informing, people management, communication skills, work under pressure, leadership, team work, interpersonal skills, mass communication, observation skills, risk managing",entrepreneurship,b.tech,hr
sports,government jobs,b.sc,pc
"ai, ml, python, java, sql, tableau",technology,bca,student (unemployed)
"critical thinking, analytic thinking, product knowledge, team work, excel, observation skills, risk managing, reporting, reading, designing skills","research, take risk for profits, understand human behaviour",be,design engineer
docker;kubernetes;amazon web services (aws);bash;apache; new relic apm;jenkins;internet information services (iis);terraform;aks;continuous integration and continuous delivery (ci/cd);amazon ec2,"information technology,blockchain",b.tech,devops engineer
"full stack, java, python, reactjs",software job,b.tech,software developer
active listening;analytical skills;negotiation skills;product knowledge;problem solving skills;risk management skills;machine learning skills;python,supply chain analysis;data scientist;machine learning;excel,be,production engineer
"web development (php, codeigniter), java development, graphic desiging, android app development",software job,b.tech,software engineer 1
data visualization skills( power bi/ tableau );python;sql,trading;data analytics;govt. job;data scientist,b.tech,
accounting skills;active listening;critical thinking;gathering information;artistic/creative skills;business knowledge;communication skills;social media marketing,financial analysis,b.com,sales manager
"accounting skills, active listening, ai, python, critical thinking, programming, product knowledge, creativity skills, team work, excel, logical skills, presentation skills, problem solving skills, observation skills, risk managing, reading",technology,b.sc,student (unemployed)
cad/cae(autocad/catia/ansys/proe/seimensnx),technology;industires,b.tech,mechanical design engineer
programming language skills;analytical skills;communication skills;leadership;editing;problem solving skills;designing skills;writing skills;machine learning skills;sales;social media marketing;r;python;artificial intelligence;sql;architecture;matlab;good communication skills;teaching;aws;php;programming language c;javascript,research;sales/marketing;teaching;technology;web designing;content writing;data analytics;digital marketing;data scientist;web development;market reserach;social media marketing;gardening;service;design;information technology;machine learning;excel,m.tech,junior software engineer
critical thinking;analytical skills;leadership;problem solving skills;machine learning skills;python,data analytics,b.sc,
"python, java, sql, programming, problem solving skills",it field,b.tech,mapping
"active listening, ai, ml, python, analytic thinking, editing, creativity skills, team work, c++, problem solving skills, mass communication","research, technology",b.sc,student (unemployed)
artistic/creative skills,blockchain,b.com,
critical thinking;gathering information;business knowledge;analytical skills;finance related skills;people management;civil & criminal law;communication skills;negotiation skills;leadership;product knowledge;problem solving skills;risk management skills;data visualization skills( power bi/ tableau );machine learning skills;interpersonal skills;python;sql,financial analysis;research;trading;understand human behaviour;understand human body;data analytics;data scientist;gardening,be,functional consultant
business knowledge;negotiation skills;product knowledge;sales,technology;supply chain analysis,b.tech,associate scm
designing skills,technology,diploma,engineer
company law;company secretarial work;due diligence;corporate law;industrial and labour law;company law;corporate social responsibility;public company compliance;statutory compliances;regulatory compliance,financial analysis,b.com,company secretary
active listening;programming language skills;communication skills;client management;good communication skills,research;technology;data analytics;design,b.tech,programmer analyst trainee (pat)
active listening;programming language skills;gathering information;mass communication;content creation,teaching;technology;web designing,b.tech,programmer
"analytic thinking, gathering informing, sql, risk managing","technology, understand human behaviour, understand human body",b.e,risk analyst
analytical skills;data visualization skills( power bi/ tableau );python;sql,technology;data analytics;data scientist;all fields related to data science.,b.sc,
business knowledge;analytical skills;people management;communication skills;leadership;product knowledge;problem solving skills;risk management skills;designing skills;writing skills;data visualization skills( power bi/ tableau );presentation skills;sql;hospitality;hr;excel,digital marketing;market reserach,b.sc,
"analytic thinking, logical skills, c++, writing","teaching, technology",b.tech,student (unemployed)
active listening;negotiation skills,technology,bca,data entry
"java, sql, programming",technology,b.tech,student (unemployed)
stack web development,software job,b.tech,associate software engineer
programming language skills;business knowledge;analytical skills;communication skills;python;sql,all fields related to data science.;machine learning;sports industry,be,data scientist-intern
programming language skills;data visualization skills( power bi/ tableau );machine learning skills;c++;r;linux;python;artificial intelligence;sql;java,data scientist;machine learning,b.tech,data analyst
critical thinking;business knowledge;communication skills;negotiation skills;artificial intelligence,financial analysis;research;sales/marketing;digital marketing,b.com,
business knowledge;people management;communication skills;product knowledge;sales;social media marketing,sales/marketing,mba,regional sales manager
agile methodologies;usability testing;c++;microsoft officebentley inroadsproduct requirements;user stories;metrics;product management;product innovation;user experience (ux);research;business development;digital marketing;,"product life cycle management,",b.tech,product manager
power electronics;simulink;inverters;matlab;plc;variable frequency drives;switchgear;industrial control,technology,b.tech,engineer-power electronics
programming language skills;people management;communication skills;editing;c++;sql,technology;data analytics,b.sc,publishing executive
active listening;hardware skills;programming language skills;critical thinking;gathering information,web development,b.tech,senior software engineer
analytical skills;machine learning skills;python;artificial intelligence;sql,technology;supply chain analysis,b.tech,techno commercial
gathering information;people management;communication skills;problem solving skills;sales;python;javascript;construction management,financial analysis;data analytics;home interior design;all fields related to data science.;construction;construction manegement;project management,be,
active listening;people management;civil & criminal law;negotiation skills;machine learning skills,understand human behaviour,law hons,advocate
"analytic thinking, product knowledge, team work, logical skills","research, sales/marketing, technology, entrepreneurship",b.tech,sales executive
active listening;hardware skills;critical thinking;gathering information;artistic/creative skills;people management;communication skills;negotiation skills;mass communication;leadership;editing;product knowledge;problem solving skills;risk management skills;writing skills;social media marketing;presentation skills;hospitality;hr;client management,research;technology;supply chain analysis;govt. job,b.tech,
accounting skills;active listening;communication skills;product knowledge;problem solving skills,research;teaching;technology;trading,b.tech,electrician
programming language skills;critical thinking;analytical skills;problem solving skills;python;medical knowledge;matlab;teaching,research;teaching;technology;trading;understand human behaviour;understand human body;data scientist;market reserach;social media marketing;industires,be,assistant professor
business knowledge;analytical skills;finance related skills;problem solving skills;risk management skills;presentation skills,market reserach;sap consultant in mm;project management,b.tech,project manager
analytical skills;data visualization skills( power bi/ tableau );machine learning skills;social media marketing;r;python;artificial intelligence,data analytics,b.tech,mechanical design engineer
c++;hadoop;java;sql;core java;javascript;pl/sql;informatica,"trading,web designing,content writing,web development,social media marketing",b.tech,system engineer
accounting skills,financial analysis,b.com,student (unemployed)
"active listening, python, gathering informing, programming",entrepreneurship,b.e,mechanical engineer
accounting skills;finance related skills;civil & criminal law;negotiation skills;risk management skills,"financial analysis;social causes;information technology;agriculture, services;excel",law hons,cs
"javascript,python",data analytics,b.tech,software developer
subject knowledge,research,b.sc,
javascript,data analytics,b.tech,associate software engineer
python,technology,b.tech,student (unemployed)
hardware skills;programming language skills;communication skills;problem solving skills;risk management skills;writing skills;presentation skills;linux;python;java;cloud computing,technology;information technology,b.tech,software engineer
teamwork;time management;company secretarial work;legal compliance;communication;teamleadership;interpersonal skills;presentations;interpersonal communication;companies act;indirect taxation,financial analysis,b.com,company secretary
accounting skills;active listening;critical thinking;analytical skills;people management;communication skills;problem solving skills;python;teaching,teaching;technology;data analytics;govt. job;data scientist;all fields related to data science.;design;machine learning;navy defence related;oil and gas,b.tech,operation & maintenance engineer
financial modeling;financial analysis;,financial analysis,bba,financial analyst
microbiology; cell culture ;molecular biology; bioprocess; katte virus,"research,understand human body,biotechnology",b.tech,research associate
"analytic thinking, sql, oracle, communication skills, work under pressure, leadership, excel, interpersonal skills, problem solving skills, reporting",data analytics,b.e,data analyst
cloud computing,information technology,b.com,trainee developer
gathering informing,technology,b.tech,student (unemployed)
"active listening, critical thinking, analytic thinking, negotiation skills, presentation skills, problem solving skills, writing, observation skills, subject knowledge","research, technology, entrepreneurship, understand human body",biotechnology,student (unemployed)
"accounting skills, cost accounting, excel, writing",entrepreneurship,b.com,student (unemployed)
"business knowledge, communication skills, negotiation skills, work under pressure, leadership, creativity skills, market study, excel, writing, reading, sales",sales/marketing,b.m.s,sr. territory sales manager
java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in java ;design and prototype in adobe xd ;html; css;javascript for web developers; responsive web design,machine learning,b.tech,full stack developer
civil & criminal law,social justice;social causes,ballb,lawyer-forensic investigations
programming language skills;artistic/creative skills;leadership;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;social media marketing;r;python,understand human body;data analytics;data scientist,b.sc,
accounting skills;active listening;programming language skills;gathering information;wealth management;content creation,supply chain analysis;content writing;data analytics,b.tech,assistent manger
"active listening, critical thinking, sql, leadership, editing, creativity skills, team work, excel, logical skills, problem solving skills, designing skills","understand human behaviour, understand human body",b.sc,student (unemployed)
data visualization skills( power bi/ tableau );r;python;sql;matlab,data analytics,be,
civil & criminal law,social justice,law hons,litigation
"proeficiency in software like staad pro, etabs",construction;construction manegement,b.tech,civil & structural engineer
active listening;programming language skills;gathering information;artistic/creative skills;communication skills;leadership;problem solving skills;writing skills;programming language c,web designing;data analytics;web development;information technology,bca,
active listening;programming language skills;gathering information;c++;java,research;technology;data analytics;data scientist;web development,mca,
"leadership, team work, presentation skills, writing, observation skills, designing skills","technology, understand human body",b.sc,student (unemployed)
"ml, sql, leadership, writing, tableau","sales/marketing, take risk for profits, teaching, entrepreneurship",b.tech,student (unemployed)
active listening;programming language skills;communication skills;machine learning skills;python,technology;data analytics,b.sc,
accounting skills;hardware skills;critical thinking;business knowledge;finance related skills;civil & criminal law;communication skills;mass communication;leadership;problem solving skills;risk management skills;data visualization skills( power bi/ tableau );machine learning skills;sales;python;sql,financial analysis;news coverage;social justice;teaching;technology;trading;understand human behaviour,b.com,
accounting skills;hardware skills;critical thinking;business knowledge;finance related skills;civil & criminal law;communication skills;leadership;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;python;sql;good communication skills;teaching,financial analysis;news coverage;social justice;teaching;technology;trading;govt. job;data scientist;social causes,b.com,
"ai, ml, python, critical thinking, analytic thinking, artistic skills, work under pressure, team work, logical skills, presentation skills","research, trading, understand human behaviour",b.sc,scientist
"active listening, leadership, market study, team work, mass communication, writing, reading, sales","financial analysis, research, sales/marketing, trading, entrepreneurship",be,mechanical engineer
sales,sales/marketing,b.com,
finance related skills;people management;communication skills;leadership;sales;social media marketing,financial analysis;news coverage;sales/marketing;social causes;construction;construction manegement,bba,business
active listening;hardware skills;critical thinking;gathering information;artistic/creative skills;business knowledge;people management;communication skills;product knowledge;problem solving skills;risk management skills;aws,financial analysis;research;sales/marketing;technology;trading;supply chain analysis;data analytics;data scientist;market reserach;service;all fields related to data science.;industires;design;sap consultant in mm;product life cycle management,be,
programming language skills;analytical skills;c++;linux;sql;java;cloud computing,financial analysis,b.tech,software engineer
"analytical skills;python;proeficiency in software like staad pro, etabs;good communication skills;teaching",research;all fields related to data science.;design,be,
active listening,industires,diploma,supply chain
active listening;people management;leadership;cloud computing,trading;data analytics;data scientist;all fields related to data science.,be,associate it consultant
hardware skills;leadership;designing skills,information technology;sports industry;salesforce admin,ba,buliding management system
active listening;programming language skills;critical thinking;communication skills;java;cloud computing,web designing;data scientist,b.tech,sales force
active listening;gathering information;analytical skills;leadership;machine learning skills;interpersonal skills;medical knowledge,teaching;technology;understand human body,be,deputy warden
"ai, ml, python, analytic thinking, sql, programming, c++",software developer,b.tech,student (unemployed)
gathering information;finance related skills;civil & criminal law,teaching;design,b.tech,teacher
"active listening,work under pressure,team work,presentation skills,reading",teaching,b.tech,teaching
bootstrap;node.js;angular;jira;trello;jquery;javascript;ajax;php;codeignitor;loopback;,"data scientist,web development,social causes,all fields related to data science,machine learning",b.tech,web developer
