skills,interests,education,recommended_career,skills_mapped
digital marketing;seo;content creation,cybersecurity;technology,phd,digital marketer,content creation;digital marketing;seo
project management;agile;communication,academia;research,bachelor's,nlp engineer,agile;communication;project management
financial analysis;excel;econometrics,technology;data science,phd,research scientist,econometrics;excel;financial analysis
research;statistical analysis;python,software development;ai,bachelor's,front-end developer,python;research;statistical analysis
java;algorithms;data structures,healthcare;ai,phd,data analyst,algorithms;data structures;java
copywriting;seo;social media,finance;analytics,master's,digital marketer,copywriting;seo;social media
network security;linux;python,marketing;communications,phd,data scientist,linux;network security;python
machine learning;big data;python,web development;design,phd,ux designer,big data;machine learning;python
graphic design;ui/ux;adobe creative suite,arts;digital media,phd,full stack developer,adobe creative suite;graphic design;ui;ux
c++;embedded systems;iot,business;management,master's,cybersecurity analyst,c++;embedded systems;iot
sql;data warehousing;etl,finance;analytics,phd,research analyst,data warehousing;etl;sql
project management;agile;communication,academia;research,phd,deep learning engineer,agile;communication;project management
java;algorithms;data structures,healthcare;ai,master's,graphic designer,algorithms;data structures;java
ux research;prototyping;interaction design,business;management,phd,data engineer,interaction design;prototyping;ux research
network security;linux;python,marketing;communications,master's,data analyst,linux;network security;python
c#;.net;software design,cybersecurity;technology,phd,business analyst,.net;c#;software design
data visualization;python;r,academia;research,bachelor's,automation engineer,data visualization;python;r
python;data analysis;machine learning,technology;data science,phd,machine learning engineer,data analysis;machine learning;python
graphic design;ui/ux;adobe creative suite,arts;digital media,master's,financial analyst,adobe creative suite;graphic design;ui;ux
html;css;javascript,healthcare;ai,phd,content strategist,css;html;javascript
javascript;react;node.js,marketing;communications,phd,cybersecurity specialist,javascript;node.js;react
digital marketing;seo;content creation,cybersecurity;technology,bachelor's,data analyst,content creation;digital marketing;seo
python;deep learning;statistics,web development;design,phd,graphic designer,deep learning;python;statistics
financial analysis;excel;econometrics,technology;data science,bachelor's,data scientist,econometrics;excel;financial analysis
research;statistical analysis;python,software development;ai,master's,software engineer,python;research;statistical analysis
cloud computing;devops;python,arts;digital media,phd,ux designer,cloud computing;devops;python
copywriting;seo;social media,finance;analytics,phd,embedded systems engineer,copywriting;seo;social media
c#;.net;software design,cybersecurity;technology,master's,digital marketer,.net;c#;software design
data visualization;python;r,academia;research,phd,nlp engineer,data visualization;python;r
machine learning;big data;python,web development;design,bachelor's,financial analyst,big data;machine learning;python
chatbot development,artificial intelligence,computer science,machine learning researcher,chatbot development
data analytics,data science,computer science,data scientist,data analytics
e-commerce website,software development,computer science,software engineer,e-commerce website
full-stack web app,web development,computer science,web developer,full-stack web app
network security,cybersecurity,computer science,information security analyst,network security
image recognition,machine learning,computer science,machine learning engineer,image recognition
sql query optimization,database management,computer science,database administrator,sql query optimization
aws deployment,cloud computing,computer science,cloud solutions architect,aws deployment
android app,mobile app development,computer science,mobile app developer,android app
3d rendering,computer graphics,computer science,graphics programmer,3d rendering
natural language processing,artificial intelligence,computer science,nlp research scientist,natural language processing
ios app,mobile app development,computer science,mobile app developer,ios app
game development,computer graphics,computer science,game developer,game development
image recognition,machine learning,mechanical engineering,machine learning engineer,image recognition
sql query optimization,database management,mechanical engineering,database administrator,sql query optimization
aws deployment,cloud computing,mechanical engineering,cloud solutions architect,aws deployment
android app,mobile app development,mechanical engineering,mobile app developer,android app
3d rendering,computer graphics,mechanical engineering,graphics programmer,3d rendering
natural language processing,artificial intelligence,mechanical engineering,nlp research scientist,natural language processing
full-stack web app,web development,mechanical engineering,web developer,full-stack web app
ios app,mobile app development,mechanical engineering,mobile app developer,ios app
game development,computer graphics,mechanical engineering,game developer,game development
e-commerce website,software engineering,mechanical engineering,software engineer,e-commerce website
network security,cybersecurity,mechanical engineering,information security analyst,network security
gcp deployment,cloud computing,mechanical engineering,cloud solutions architect,gcp deployment
social media platform,software development,mechanical engineering,software engineer,social media platform
e-commerce website,web development,electrical engineering,web developer,e-commerce website
ios game,mobile app development,electrical engineering,mobile app developer,ios game
3d animation,computer graphics,electrical engineering,graphics programmer,3d animation
natural language processing,artificial intelligence,electrical engineering,nlp research scientist,natural language processing
machine learning,data science,electrical engineering,data scientist,machine learning
network security,cybersecurity,electrical engineering,information security analyst,network security
sql query optimization,database management,electrical engineering,database administrator,sql query optimization
aws deployment,cloud computing,electrical engineering,cloud solutions architect,aws deployment
social media platform,software development,electrical engineering,software engineer,social media platform
android game,mobile app development,electrical engineering,mobile app developer,android game
3d modeling,computer graphics,electrical engineering,graphics programmer,3d modeling
natural language processing,artificial intelligence,civil engineering,nlp research scientist,natural language processing
machine learning,data science,civil engineering,data scientist,machine learning
network security,cybersecurity,civil engineering,information security analyst,network security
sql query optimization,database management,civil engineering,database administrator,sql query optimization
aws deployment,cloud computing,civil engineering,cloud solutions architect,aws deployment
social media platform,software development,civil engineering,software engineer,social media platform
e-commerce website,web development,civil engineering,web developer,e-commerce website
android game,mobile app development,civil engineering,mobile app developer,android game
3d animation,computer graphics,civil engineering,graphics programmer,3d animation
network security,cybersecurity,puc,information security analyst,network security
sql query optimization,database management,puc,database administrator,sql query optimization
android game,mobile app development,puc,mobile app developer,android game
e-commerce website,web development,puc,web developer,e-commerce website
social media platform,software development,puc,software engineer,social media platform
3d animation,computer graphics,puc,graphics programmer,3d animation
natural language processing,artificial intelligence,puc,nlp research scientist,natural language processing
machine learning,data science,puc,data scientist,machine learning
firewall management,network security,puc,security analyst,firewall management
deep learning models,machine learning,sslc,machine learning engineer,deep learning models
data warehouse design,database management,sslc,database administrator,data warehouse design
embedded systems,software development,sslc,embedded software engineer,embedded systems
front-end development,web development,sslc,web developer,front-end development
statistical analysis,data science,sslc,data analyst,statistical analysis
robotics,artificial intelligence,sslc,robotics engineer,robotics
mobile game development,game development,sslc,game developer,mobile game development
penetration testing,cybersecurity,sslc,ethical hacker,penetration testing
object detection,computer vision,sslc,computer vision engineer,object detection
devops,software engineering,sslc,devops engineer,devops
genomic data analysis,bioinformatics,sslc,bioinformatician,genomic data analysis
smart home automation,iot (internet of things),bsc,iot developer,smart home automation
chatbot development,natural language processing,bsc,nlp engineer,chatbot development
market analysis,data mining,bsc,data analyst,market analysis
cloud migration specialist,cloud computing,bsc,cloud solutions architect,cloud migration specialist
usability testing,human-computer interaction,bsc,ux designer,usability testing
medical imaging analysis,biomedical computing,bsc,healthcare it specialist,medical imaging analysis
quantum algorithm development,quantum computing,bsc,quantum computing researcher,quantum algorithm development
virtual reality development,computer graphics,bsc,vr developer,virtual reality development
smart contracts developer,blockchain technology,bsc,blockchain engineer,smart contracts developer
search engine optimization,information retrieval,bsc,seo specialist,search engine optimization
privacy compliance officer,data privacy,bsc,data privacy specialist,privacy compliance officer
gis mapping,geographic information systems,bsc,geospatial analyst,gis mapping
distributed systems architect,distributed systems,bsc,distributed systems engineer,distributed systems architect
computer forensic analyst,digital forensics,bsc,digital forensics specialist,computer forensic analyst
protein structure prediction,bioinformatics,bsc,bioinformatician,protein structure prediction
user experience researcher,human-computer interaction,msc,ux designer,user experience researcher
healthcare data analyst,biomedical computing,msc,healthcare it specialist,healthcare data analyst
quantum algorithm development,quantum computing,msc,quantum computing researcher,quantum algorithm development
neural network development,artificial intelligence,msc,ai researcher,neural network development
big data analytics,data science,msc,data analyst,big data analytics
mobile app development,software development,msc,software engineer,mobile app development
e-commerce website,web development,msc,web developer,e-commerce website
network security,cybersecurity,msc,information security analyst,network security
image classification,machine learning,msc,machine learning engineer,image classification
sql database design,database management,msc,database administrator,sql database design
cloud infrastructure management,cloud computing,msc,cloud solutions architect,cloud infrastructure management
ios app development,mobile app development,msc,mobile app developer,ios app development
natural language processing,artificial intelligence,msc,nlp research scientist,natural language processing
full-stack web app,web development,mca,web developer,full-stack web app
android app development,mobile app development,mca,mobile app developer,android app development
3d modeling,computer graphics,mca,graphics programmer,3d modeling
enterprise software development,software engineering,mca,software engineer,enterprise software development
network security,cybersecurity,mca,information security analyst,network security
sql query optimization,database management,mca,database administrator,sql query optimization
aws deployment,cloud computing,mca,cloud solutions architect,aws deployment
computer vision,artificial intelligence,mca,ai researcher,computer vision
machine learning,data science,mca,data scientist,machine learning
web application development,software development,mca,software engineer,web application development
e-commerce website,web development,mca,web developer,e-commerce website
security auditing,cybersecurity,mca,information security analyst,security auditing
natural language processing,machine learning,mca,machine learning engineer,natural language processing
sql database administration,database management,mca,database administrator,sql database administration
cloud solution architecture,cloud computing,mca,cloud solutions architect,cloud solution architecture
cross-platform app development,mobile app development,mca,mobile app developer,cross-platform app development
reinforcement learning,artificial intelligence,mca,ai researcher,reinforcement learning
data mining,data science,mca,data analyst,data mining
front-end development,web development,mca,web developer,front-end development
mobile app development,software development,bcom,software engineer,mobile app development
e-commerce website,web development,bcom,web developer,e-commerce website
network security,cybersecurity,bcom,information security analyst,network security
image classification,machine learning,bcom,machine learning engineer,image classification
sql database design,database management,bcom,database administrator,sql database design
cloud infrastructure management,cloud computing,bcom,cloud solutions architect,cloud infrastructure management
ios app development,mobile app development,bcom,mobile app developer,ios app development
natural language processing,artificial intelligence,bcom,nlp research scientist,natural language processing
full-stack web app,web development,bcom,web developer,full-stack web app
security auditing,cybersecurity,bcom,information security analyst,security auditing
sql database administration,database management,bcom,database administrator,sql database administration
cloud solution architecture,cloud computing,bcom,cloud solutions architect,cloud solution architecture
cross-platform app development,mobile app development,bcom,mobile app developer,cross-platform app development
reinforcement learning,artificial intelligence,bcom,ai researcher,reinforcement learning
data mining,data science,bcom,data analyst,data mining
front-end development,web development,bcom,web developer,front-end development
computer vision,machine learning,mcom,machine learning engineer,computer vision
neural network development,artificial intelligence,mcom,ai researcher,neural network development
big data analytics,data science,mcom,data analyst,big data analytics
mobile app development,software development,mcom,software engineer,mobile app development
e-commerce website,web development,mcom,web developer,e-commerce website
network security,cybersecurity,mcom,information security analyst,network security
image classification,machine learning,mcom,machine learning engineer,image classification
sql database design,database management,mcom,database administrator,sql database design
cloud infrastructure management,cloud computing,mcom,cloud solutions architect,cloud infrastructure management
ios app development,mobile app development,mcom,mobile app developer,ios app development
natural language processing,artificial intelligence,mcom,nlp research scientist,natural language processing
full-stack web app,web development,mcom,web developer,full-stack web app
security auditing,cybersecurity,mcom,information security analyst,security auditing
sql database administration,database management,mcom,database administrator,sql database administration
cloud solution architecture,cloud computing,mcom,cloud solutions architect,cloud solution architecture
python;sql;java,cloud computing,b.sc,software,java;python;sql
"critical thinking, analytic thinking, sql, programming, work under pressure, logical skills, problem solving skills",technology,b.e,computer software engineer,analytic thinking;critical thinking;logical skills;problem solving skills;programming;sql;work under pressure
people management;communication skills,understand human behaviour,ba,,communication skills;people management
accounting skills;critical thinking,sales/marketing;trading;understand human behaviour;home interior design,mba,relationships manager,accounting skills;critical thinking
plc allen bradley;plc ladder logic;labview;business analysis;end-to-end projectmanagement;crossfunctional team leadership;requirements gathering;lean six sigma;lean six sigma blackbelt;productivity improvement,technology,b.tech,plant instrumentation engineer,business analysis;crossfunctional team leadership;end-to-end projectmanagement;labview;lean six sigma;lean six sigma blackbelt;plc allen bradley;plc ladder logic;productivity improvement;requirements gathering
"c,c++,html,java",technology,b.tech,network analyst,c;c++;html;java
"critical thinking, analytic thinking, communication skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, problem solving skills, observation skills, reading","research, sales/marketing",bms,student (unemployed),analytic thinking;communication skills;creativity skills;critical thinking;excel;interpersonal skills;logical skills;observation skills;presentation skills;problem solving skills;reading
no,technology,b.tech,software engineer trainee,no
programming language skills;critical thinking;linux;python;sql;java,technology,b.tech,senior software engineer,critical thinking;java;linux;programming language skills;python;sql
active listening;critical thinking;gathering information;artistic/creative skills;communication skills;leadership;editing;problem solving skills;writing skills;medical knowledge;hr;good communication skills;teaching,research;teaching;technology;understand human behaviour;understand human body;content writing;govt. job;service;infrastructure,b.sc,,active listening;artistic;communication skills;creative skills;critical thinking;editing;gathering information;good communication skills;hr;leadership;medical knowledge;problem solving skills;teaching;writing skills
"accounting skills, analytic thinking, cost accounting, team work, excel, problem solving skills, writing, tableau",financial analysis,b.com,tele-caller,accounting skills;analytic thinking;cost accounting;excel;problem solving skills;tableau;team work;writing
"analytic thinking, gathering informing, communication skills, team work, presentation skills, problem solving skills","take risk for profits, technology, entrepreneurship",be,data engineer,analytic thinking;communication skills;gathering informing;presentation skills;problem solving skills;team work
accounting skills;business knowledge;leadership;problem solving skills;wealth management,"sales/marketing;trading;understand human behaviour;digital marketing;market reserach;agriculture, services;construction manegement",mba,,accounting skills;business knowledge;leadership;problem solving skills;wealth management
critical thinking;gathering information;presentation skills;python;sql;good communication skills,data analytics,be,,critical thinking;gathering information;good communication skills;presentation skills;python;sql
communication skills;writing skills;c++;python;sql;java;cloud computing,technology,bca,,c++;cloud computing;communication skills;java;python;sql;writing skills
analytical skills;data visualization skills( power bi/ tableau );machine learning skills;python;sql,research;technology;data analytics;govt. job,be,worked in research institute,analytical skills;data visualization skills power bi;machine learning skills;python;sql;tableau
programming language skills;critical thinking;gathering information;leadership;machine learning skills;python;artificial intelligence;sql;java;matlab;good communication skills,financial analysis;research;data analytics;data scientist,b.tech,,artificial intelligence;critical thinking;gathering information;good communication skills;java;leadership;machine learning skills;matlab;programming language skills;python;sql
"python, critical thinking, analytic thinking, gathering informing, sql, programming, leadership, product knowledge, cost accounting, market study, team work, excel, logical skills, r, problem solving skills, writing, tableau",entrepreneurship,be,teacher,analytic thinking;cost accounting;critical thinking;excel;gathering informing;leadership;logical skills;market study;problem solving skills;product knowledge;programming;python;r;sql;tableau;team work;writing
matlab ;embedded c; arduino; c ++;c ;avr;eagle pcb;arm cortex-m;kicad;software project management,technology,b.tech,embedded system engineer,arduino;arm cortex-m;avr;c;c ++;eagle pcb;embedded c;kicad;matlab;software project management
"active listening;critical thinking;analytical skills;people management;communication skills;leadership;problem solving skills;designing skills;proeficiency in software like staad pro, etabs",research;teaching;technology;data analytics,be,assistant professor,active listening;analytical skills;communication skills;critical thinking;designing skills;etabs;leadership;people management;problem solving skills;proeficiency in software like staad pro
hardware skills,teaching;technology;industires,m.tech,mine engineer,hardware skills
business knowledge;analytical skills;product knowledge;problem solving skills;risk management skills;designing skills;machine learning skills;python;sql;cloud computing;hr,financial analysis;research;sales/marketing;technology;data analytics,b.tech,,analytical skills;business knowledge;cloud computing;designing skills;hr;machine learning skills;problem solving skills;product knowledge;python;risk management skills;sql
"proeficiency in software like staad pro, etabs;cad/cae(autocad/catia/ansys/proe/seimensnx)",technology;all fields related to data science.;industires;information technology,b.tech,mechanical design engineer,ansys;cad;caeautocad;catia;etabs;proe;proeficiency in software like staad pro;seimensnx
accounting skills;active listening;critical thinking;gathering information;business knowledge;analytical skills;finance related skills;people management;communication skills;negotiation skills;mass communication;leadership;product knowledge;problem solving skills;risk management skills;data visualization skills( power bi/ tableau );sales;interpersonal skills;wealth management,financial analysis;news coverage;research;sales/marketing;social justice;teaching;technology;trading;understand human behaviour;understand human body;supply chain analysis;data analytics;govt. job;game industry;digital marketing,b.com,finance manager,accounting skills;active listening;analytical skills;business knowledge;communication skills;critical thinking;data visualization skills power bi;finance related skills;gathering information;interpersonal skills;leadership;mass communication;negotiation skills;people management;problem solving skills;product knowledge;risk management skills;sales;tableau;wealth management
programming language skills;communication skills;writing skills;machine learning skills;sales;c++;r,technology;service,bca,,c++;communication skills;machine learning skills;programming language skills;r;sales;writing skills
active listening;teaching,teaching,bca,teaching,active listening;teaching
business knowledge;civil & criminal law;product knowledge,market reserach,b.tech,national head,business knowledge;civil  criminal law;product knowledge
critical thinking;problem solving skills;designing skills;interpersonal skills;python,design,b.tech,field engineer,critical thinking;designing skills;interpersonal skills;problem solving skills;python
strategic planning;financial analysis;financial modeling;marketing strategy;financial services,financial analysis,bba,investment banking associate,financial analysis;financial modeling;financial services;marketing strategy;strategic planning
"business knowledge, people management, communication skills, work under pressure, leadership, market study, team work, interpersonal skills, presentation skills, designing skills, sales, design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble","financial analysis, sales/marketing, technology, entrepreneurship",be,sales executive,business knowledge;communication skills;design and analysis of automobile components;design for manufacturer and assemble;designing skills;interpersonal skills;leadership;market study;people management;presentation skills;sales;team work;vehicle maintenance and reconditioning;work under pressure
"creativity skills, excel, logical skills, observation skills, risk managing, designing skills, vlsi design,simulation,embedded,iot",embedded design,be,vlsi digital design,creativity skills;designing skills;embedded;excel;iot;logical skills;observation skills;risk managing;simulation;vlsi design
"python, critical thinking, analytic thinking, java, sql, programming, communication skills, negotiation skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, c++",research,b.tech,production manager,analytic thinking;c++;communication skills;creativity skills;critical thinking;excel;interpersonal skills;java;logical skills;negotiation skills;presentation skills;programming;python;sql
no,technology,be,software developer,no
active listening;business knowledge;communication skills;negotiation skills;leadership;product knowledge;problem solving skills;sales;interpersonal skills,sales/marketing,b.com,life insurance,active listening;business knowledge;communication skills;interpersonal skills;leadership;negotiation skills;problem solving skills;product knowledge;sales
business knowledge,sales/marketing,b.com,,business knowledge
business knowledge;analytical skills;negotiation skills;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;sql,financial analysis;technology;trading;data analytics,b.tech,full stack developer,analytical skills;business knowledge;data visualization skills power bi;machine learning skills;negotiation skills;problem solving skills;sql;tableau
active listening;business knowledge;risk management skills;sales;good communication skills,trading,be,,active listening;business knowledge;good communication skills;risk management skills;sales
accounting skills;programming language skills;critical thinking;business knowledge;analytical skills;finance related skills;communication skills;problem solving skills;c++;python;sql,financial analysis;technology;web designing;web development;social causes,b.tech,,accounting skills;analytical skills;business knowledge;c++;communication skills;critical thinking;finance related skills;problem solving skills;programming language skills;python;sql
"active listening, creativity skills, team work, logical skills",research,b.pharmacy,process analyst,active listening;creativity skills;logical skills;team work
"accounting skills, cost accounting",financial analysis,b.com,housewife,accounting skills;cost accounting
programming language skills;people management;mass communication;leadership;designing skills;writing skills;architecture,home interior design,b.sc,junior interior designer,architecture;designing skills;leadership;mass communication;people management;programming language skills;writing skills
"business knowledge, product knowledge, team work, sales",take risk for profits,b.com,tele-caller,business knowledge;product knowledge;sales;team work
"gathering informing, people management, communication skills, work under pressure, leadership, team work, interpersonal skills, mass communication, observation skills, risk managing",entrepreneurship,b.tech,hr,communication skills;gathering informing;interpersonal skills;leadership;mass communication;observation skills;people management;risk managing;team work;work under pressure
sports,government jobs,b.sc,pc,sports
"ai, ml, python, java, sql, tableau",technology,bca,student (unemployed),ai;java;ml;python;sql;tableau
"critical thinking, analytic thinking, product knowledge, team work, excel, observation skills, risk managing, reporting, reading, designing skills","research, take risk for profits, understand human behaviour",be,design engineer,analytic thinking;critical thinking;designing skills;excel;observation skills;product knowledge;reading;reporting;risk managing;team work
docker;kubernetes;amazon web services (aws);bash;apache; new relic apm;jenkins;internet information services (iis);terraform;aks;continuous integration and continuous delivery (ci/cd);amazon ec2,"information technology,blockchain",b.tech,devops engineer,aks;amazon ec2;amazon web services aws;apache;bash;cd;continuous integration and continuous delivery ci;docker;internet information services iis;jenkins;kubernetes;new relic apm;terraform
"full stack, java, python, reactjs",software job,b.tech,software developer,full stack;java;python;reactjs
active listening;analytical skills;negotiation skills;product knowledge;problem solving skills;risk management skills;machine learning skills;python,supply chain analysis;data scientist;machine learning;excel,be,production engineer,active listening;analytical skills;machine learning skills;negotiation skills;problem solving skills;product knowledge;python;risk management skills
"web development (php, codeigniter), java development, graphic desiging, android app development",software job,b.tech,software engineer 1,android app development;codeigniter;graphic desiging;java development;web development php
data visualization skills( power bi/ tableau );python;sql,trading;data analytics;govt. job;data scientist,b.tech,,data visualization skills power bi;python;sql;tableau
accounting skills;active listening;critical thinking;gathering information;artistic/creative skills;business knowledge;communication skills;social media marketing,financial analysis,b.com,sales manager,accounting skills;active listening;artistic;business knowledge;communication skills;creative skills;critical thinking;gathering information;social media marketing
"accounting skills, active listening, ai, python, critical thinking, programming, product knowledge, creativity skills, team work, excel, logical skills, presentation skills, problem solving skills, observation skills, risk managing, reading",technology,b.sc,student (unemployed),accounting skills;active listening;ai;creativity skills;critical thinking;excel;logical skills;observation skills;presentation skills;problem solving skills;product knowledge;programming;python;reading;risk managing;team work
cad/cae(autocad/catia/ansys/proe/seimensnx),technology;industires,b.tech,mechanical design engineer,ansys;cad;caeautocad;catia;proe;seimensnx
programming language skills;analytical skills;communication skills;leadership;editing;problem solving skills;designing skills;writing skills;machine learning skills;sales;social media marketing;r;python;artificial intelligence;sql;architecture;matlab;good communication skills;teaching;aws;php;programming language c;javascript,research;sales/marketing;teaching;technology;web designing;content writing;data analytics;digital marketing;data scientist;web development;market reserach;social media marketing;gardening;service;design;information technology;machine learning;excel,m.tech,junior software engineer,analytical skills;architecture;artificial intelligence;aws;communication skills;designing skills;editing;good communication skills;javascript;leadership;machine learning skills;matlab;php;problem solving skills;programming language c;programming language skills;python;r;sales;social media marketing;sql;teaching;writing skills
critical thinking;analytical skills;leadership;problem solving skills;machine learning skills;python,data analytics,b.sc,,analytical skills;critical thinking;leadership;machine learning skills;problem solving skills;python
"python, java, sql, programming, problem solving skills",it field,b.tech,mapping,java;problem solving skills;programming;python;sql
"active listening, ai, ml, python, analytic thinking, editing, creativity skills, team work, c++, problem solving skills, mass communication","research, technology",b.sc,student (unemployed),active listening;ai;analytic thinking;c++;creativity skills;editing;mass communication;ml;problem solving skills;python;team work
artistic/creative skills,blockchain,b.com,,artistic;creative skills
critical thinking;gathering information;business knowledge;analytical skills;finance related skills;people management;civil & criminal law;communication skills;negotiation skills;leadership;product knowledge;problem solving skills;risk management skills;data visualization skills( power bi/ tableau );machine learning skills;interpersonal skills;python;sql,financial analysis;research;trading;understand human behaviour;understand human body;data analytics;data scientist;gardening,be,functional consultant,analytical skills;business knowledge;civil  criminal law;communication skills;critical thinking;data visualization skills power bi;finance related skills;gathering information;interpersonal skills;leadership;machine learning skills;negotiation skills;people management;problem solving skills;product knowledge;python;risk management skills;sql;tableau
business knowledge;negotiation skills;product knowledge;sales,technology;supply chain analysis,b.tech,associate scm,business knowledge;negotiation skills;product knowledge;sales
